# Index of migration data sources. Rendered from scripts/migration/sources.py; do not edit by hand.
# 'metrics' and 'limits' hold pipe-separated lists.
id	name	family	publisher	unit	coverage	years	cadence	access	fmt	api	licence	network	metrics	limits	url	checked
idmc-gidd	IDMC Global Internal Displacement Database	displacement	Internal Displacement Monitoring Centre	country x year x cause (conflict, disaster), stocks and new displacements	Global, ~150 countries with events	2008 onward for disasters; 2009 onward for conflict stocks	Annual Global Report on Internal Displacement, plus an event feed	Open download and a REST API	CSV, XLSX, JSON	Yes	CC BY	Node attributes, not a network. Internal by definition, so there is no origin-destination edge to build. Sub-national event locations are available and can be joined to geography.	internal displacements (new movements) by cause | total number of IDPs at year end | disaster hazard type | event-level records with dates and locations	New displacements count movements, not people. One person displaced three times contributes three. | Disaster and conflict displacement are estimated by different methods and should not be added without saying so. | Coverage follows where monitoring exists. An absence of data is not an absence of displacement.	https://www.internal-displacement.org/database/displacement-data/	not fetched
unrwa	UNRWA registered Palestine refugees	displacement	UNRWA	field of operation x year, registered persons	Five fields: Jordan, Lebanon, Syria, West Bank, Gaza	1950 onward	Annual	Statistical bulletins and the UNRWA open data portal	PDF, XLSX, some CSV	Limited	UN terms	Node attributes only; five fields, no origin-destination structure	registered refugees | registered persons | camp populations | service uptake in health and education	Registration, not presence. Registered persons include descendants and people who have since moved or naturalised elsewhere. | Not comparable with UNHCR figures and not additive with them. | Five fields only; Palestinians outside them are counted by UNHCR, sometimes, under a different mandate.	https://www.unrwa.org/what-we-do/protection	not fetched
eurostat-asylum	Eurostat asylum applications and decisions	asylum	Eurostat	reporting country x citizenship x month x sex x age	EU27, EFTA	2008 onward monthly; annual back to 1998 in older series	Monthly, with about a two-month lag	Eurostat database and API	TSV, SDMX, JSON	Yes	Reuse with attribution	Weighted directed origin -> destination at monthly resolution. The highest-frequency bilateral migration network available anywhere.	first-time and repeat asylum applications (migr_asyappctzm) | first-instance and final decisions by outcome | recognition rate by origin and destination | unaccompanied minors | Dublin transfers, requests and outgoing | withdrawn applications	Applications are not arrivals. Asylum shopping, secondary movement and Dublin transfers put the same person in several national counts. | Recognition rates computed as decisions over applications in the same period are wrong; decisions lag applications by months to years. | Small cells are suppressed. | Europe only.	https://ec.europa.eu/eurostat/web/migration-asylum/asylum/database	not fetched
frontex-dibc	Frontex detections of illegal border crossings	asylum	Frontex (European Border and Coast Guard Agency)	migratory route x month x reported nationality	EU external borders	2009 onward monthly	Monthly	Frontex migratory map and public CSV releases	CSV, XLSX	No stable public API	Reuse with attribution	Route-level, not country pairs. Can be coerced into origin -> route -> entry-country edges but the route is the honest unit.	detections by route | claimed nationality | share of minors | sex breakdown | facilitators detected	Detections count events, not people. One person crossing twice is two detections, and Frontex says so. | Nationality is claimed, not verified, and claiming a high-recognition nationality is rational behaviour. | Enforcement intensity drives the series as much as movement does. A rise can mean more patrols. | Routes are an administrative construct that changes definition over time.	https://www.frontex.europa.eu/what-we-do/monitoring-and-risk-analysis/migratory-map/	not fetched
dhs-ois	US DHS Office of Immigration Statistics yearbook	asylum	US Department of Homeland Security	fiscal year x country of birth or nationality x category	United States	1892 onward for some series; detailed tables from 1996	Annual, with monthly CBP releases	Open download	XLSX, CSV, PDF	No	US public domain	Origin -> US edges only. A single-destination star.	lawful permanent residents by country of birth and class of admission | naturalisations | nonimmigrant admissions by visa class | refugee admissions and asylum grants | removals, returns and expedited removals | CBP encounters by sector, nationality and demographic	Fiscal years, not calendar years. Joining to anything else needs care. | Encounters count events; Title 42 era repeat crossings inflated the series and the break is not marked in the raw tables. | Class of admission reflects the legal route taken, which is shaped by queue availability rather than intent.	https://www.dhs.gov/ohss/topics/immigration	not fetched
mipex	MIPEX, Migrant Integration Policy Index	policy	CIDOB and Migration Policy Group	country x year x policy strand, score 0-100	56 countries: EU, OECD and a few others	2007, 2010, 2014, 2019, 2020 rounds	Every few years; the 2020 round is the current one	Open download and an interactive site	XLSX, CSV	No	CC BY	Node attributes. The standard policy covariate.	overall MIPEX score | eight strands: labour market mobility, family reunion, education, political participation, permanent residence, access to nationality, anti-discrimination, health | sub-indicator scores	Measures law on the books, not implementation. A generous statute with a two-year appointment backlog scores well. | Expert coding, so the scale is ordinal dressed up as cardinal. Differences of five points mean little. | Rich-country bias in the country set. | Rounds are years apart; it cannot support event-study designs.	https://www.mipex.eu/	not fetched
impic	IMPIC, Immigration Policies in Comparison	policy	WZB Berlin (Helbling, Bjerre, Romer, Zobel)	country x year x policy field, restrictiveness score	33 OECD countries	1980-2010, with extensions	Static with occasional extension	Open download after registration	Stata, CSV	No	Academic use	Node attributes	restrictiveness of regulations and control mechanisms | by field: labour, family, asylum, co-ethnic migration | external vs internal control	Ends around 2010 in the core release; the last fifteen years of policy change are the interesting ones and they are not in it. | OECD only. | Aggregation weights across sub-indices are a choice, and results move with the choice.	https://www.wzb.eu/en/research/migration-and-diversity/migration-and-diversity/projects/impic	not fetched
demig	DEMIG POLICY, DEMIG C2C and DEMIG TOTAL	policy	International Migration Institute, Oxford / Amsterdam	policy change event; and country-to-country flow series	45 countries for policy; 34 reporters for C2C flows	1945-2013	Static	Open download	XLSX, CSV	No	Academic use with citation	DEMIG C2C is a bilateral flow network 1946-2011. DEMIG POLICY is an event list, not a network.	6,500 policy changes coded by direction and magnitude | policy area and target group | C2C: annual bilateral inflows and outflows | TOTAL: long-run national flow series	Frozen in 2013. Nobody maintains it. | Policy 'magnitude' is a four-point expert judgement. | C2C reporters are the usual rich-country set, with the usual emigration undercount.	https://www.migrationinstitute.org/data/demig-data	not fetched
globalcit	GLOBALCIT citizenship law datasets	policy	European University Institute	country x year x mode of acquisition or loss of citizenship	Near-global, 190+ countries for the core modes	Varies; CITLAW indicators from 1960s, current law fully coded	Continuous updating	Open download and a browsable database	CSV, XLSX	No	CC BY	Node attributes, plus one genuine network: dual-citizenship toleration and bilateral citizenship agreements.	modes of acquisition: birthright, descent, naturalisation, marriage, ancestry-based, investment | modes of loss and deprivation | residence duration required for naturalisation | dual citizenship toleration | electoral rights of non-resident citizens and non-citizen residents	Law as written. Administrative discretion is invisible. | Coding a legal system into indicators loses conditionality; a rule with five exceptions codes the same as one without. | Some historical series are thin outside Europe.	https://globalcit.eu/databases/	not fetched
iom-mgi	IOM Migration Governance Indicators	policy	IOM with the Economist Impact	country or city x assessment round, 90+ binary indicators	~100 countries assessed so far, plus subnational units	2016 onward, rolling	Rolling; each country assessed once or twice	Country profiles on the Migration Data Portal	PDF profiles; some structured data	No	IOM terms	Node attributes	six dimensions of migration governance | presence or absence of specific institutions and policies	Self-assessment with IOM facilitation, so it measures stated commitment. | Not a scored index by design; IOM discourages ranking, which limits it as a regression covariate. | Coverage is where governments agreed to be assessed.	https://www.migrationdataportal.org/overviews/mgi	not fetched
demig-visa	DEMIG VISA	mobility	International Migration Institute	origin nationality x destination country x year, visa required or not	237 nationalities x 214 destinations	1973-2013	Static	Open download	XLSX	No	Academic use	Directed binary network, near-complete: an arc when a passport holder of A needs a visa for B. Forty years of it, which makes it the only long longitudinal mobility-rights network.	visa requirement, binary, per year and per pair	Stops in 2013. | Binary. Visa-on-arrival, eTA and e-visa regimes collapse into the same cell as a full embassy application. | Says nothing about refusal rates, which is where the real restriction sits for many nationalities.	https://www.migrationinstitute.org/data/demig-data/demig-visa-data	not fetched
passport-indices	Henley Passport Index and Global Passport Power Index	mobility	Henley and Partners (IATA data); Arton Capital	passport x destination, access category	199 passports x 227 destinations	2006 onward, updated through the year	Quarterly to monthly	Public web rankings; the underlying pairwise matrix is commercial	Web, scraping needed for the matrix	Commercial	Proprietary; rankings are public, the matrix is not	Directed network of visa-free access. The contemporary successor to DEMIG VISA, and one of the cleanest inequality measures in the field.	visa-free destinations count | visa-on-arrival | eTA required | visa required | mobility score	Licensing. The headline ranking is free, the pair-level matrix is not, and scraping it is against the terms. | Built from IATA timetable data, which encodes airline-facing rules and occasionally lags real policy. | Tourist entry only. It says nothing about work or settlement rights, which is what migration actually needs.	https://www.henleyglobal.com/passport-index	not fetched
visa-openness	UN Tourism and regional visa openness indices	mobility	UN Tourism (UNWTO); African Union and AfDB for the Africa index	destination x origin region, entry requirement	Global for UNWTO; 54 countries for the Africa Visa Openness Index	2008 onward; Africa index annual since 2016	Annual	Report downloads, some structured annexes	PDF, XLSX	No	Free with attribution	Directed, but usually published at origin-region rather than origin-country resolution, which coarsens the network badly.	share of world population requiring a visa | visa-free, visa-on-arrival, e-visa shares | Africa index: openness score, reciprocity	Tourism framing, so short-stay rules only. | Aggregated to regions in most published tables. | The pair-level source is the same commercial IATA feed.	https://www.unwto.org/tourism-visa-openness	not fetched
iom-mmp	IOM Missing Migrants Project	irregular	IOM Global Migration Data Analysis Centre	incident: date, location, route, dead, missing, survivors, nationalities	Global, all migration routes	2014 onward	Continuous, updated weekly	Open download, no registration	CSV with coordinates	Partial	CC BY	Not a network. Point events with coordinates and a named route; can be aggregated to origin-route or origin-region edges.	dead and missing per incident | cause of death | route | coordinates | reported nationalities of the deceased | number of survivors	Undercount by construction, and the publisher says so. Deaths in deserts and in unmonitored sea areas are found only when someone reports them. | Media-sourced, so coverage tracks journalistic attention. The Mediterranean looks deadlier partly because it is watched. | Nationality is unknown for most records. | An incident is not a person; group incidents with an unknown count are recorded with estimates.	https://missingmigrants.iom.int/downloads	not fetched
ctdc	Counter Trafficking Data Collaborative	irregular	IOM, Polaris, Liberty Shared and partners	individual victim case, de-identified	Global, ~190 countries of origin represented	2002 onward	Periodic releases	Open global synthetic and k-anonymised datasets	CSV	No	CC BY-NC	Origin country -> exploitation country edges at case level. One of very few victim-level datasets that yields a real network.	country of origin, exploitation and citizenship | type of exploitation: sexual, forced labour, forced marriage | means of control | recruiter relationship | age band and gender | sector of exploitation	Cases known to service providers. This is a sample of the identified, which is a biased sample of the exploited. | Heavy privacy protection: k-anonymisation and synthetic variants blur exactly the small cells you would want. | Case counts reflect counter-trafficking capacity in a country, not trafficking prevalence.	https://www.ctdatacollaborative.org/	not fetched
unodc-tip	UNODC Global Report on Trafficking in Persons	irregular	UN Office on Drugs and Crime	country x year, detected victims and convictions; plus origin-destination flows at subregional level	~150 countries reporting	2003 onward, biennial reports	Every two years	Report plus a data portal	PDF, XLSX, some CSV	No	UN terms	Subregion -> subregion trafficking flows. Coarse, but the only official global one.	detected victims by age, sex and form of exploitation | convictions and prosecutions | cross-border vs domestic share | origin-destination flows at subregional resolution	Detection, not prevalence, and detection is a function of enforcement. | Subregional flows only; no country pairs. | Reporting country coverage changes between editions, which breaks comparability of totals.	https://www.unodc.org/unodc/data-and-analysis/glotip.html	not fetched
gdp-detention	Global Detention Project database	irregular	Global Detention Project	detention facility; and country immigration-detention profile	~100 countries profiled	2006 onward, rolling updates	Rolling	Open web database and downloads	Web, CSV extracts	Limited	CC BY-NC	Not a network. Facility-level attributes with coordinates, plus country legal frameworks.	number and type of detention facilities | detention capacity and population where known | legal grounds and maximum duration | detention of minors | operators including private contractors	Coverage depends on state transparency; the least transparent systems have the thinnest profiles. | Capacity and occupancy figures are often years old. | Facility lists are incomplete where detention happens in police stations and unofficial sites.	https://www.globaldetentionproject.org/	not fetched
knomad-remit	KNOMAD bilateral remittance matrix	money	World Bank / KNOMAD	sending country x receiving country x year, USD	~214 countries, complete matrix	2010 onward, selected years	Alongside the Migration and Development Brief	XLSX download	XLSX square matrix	No	CC BY	Weighted directed money network, the mirror image of the migration network. Comparing the two is a ready-made research question.	estimated bilateral remittance flow in USD	Estimated, not measured. Allocation uses the bilateral migrant stock and income differences, so the remittance network is partly a transformation of the migration network. Correlating them is close to circular. | Informal channels, hawala and cash carried by hand are outside it. | National totals are balance-of-payments figures with known definitional problems around compensation of employees.	https://www.knomad.org/data/remittances	not fetched
rpw	Remittance Prices Worldwide	money	World Bank	corridor x provider x quarter, cost of sending a fixed amount	48 sending and 105 receiving countries, 367 corridors	2008 onward, quarterly	Quarterly	Open download	XLSX, CSV	No	CC BY	Weighted directed corridor network where the weight is a price, not a volume. Useful as an edge cost.	total cost as percentage of the amount sent | fee and exchange-rate margin split | by provider type: bank, MTO, mobile operator | speed of transfer | SDG 10.c.1 indicator	Corridor set is chosen for policy salience, not coverage. Many corridors with large volumes are missing. | Mystery-shopper prices, collected on one day per quarter. | Advertised prices, which are not what everyone pays.	https://remittanceprices.worldbank.org/	not fetched
wb-wdi	World Bank World Development Indicators	money	World Bank	country x year x indicator	Global, 217 economies plus aggregates	1960 onward, varies by indicator	Continuous, with annual major updates	Open API with no key	JSON, XML, CSV bulk	Yes: api.worldbank.org/v2/	CC BY 4.0	Node attributes. The default covariate set for country-level models.	net migration SM.POP.NETM | international migrant stock SM.POP.TOTL and share SM.POP.TOTL.ZS | personal remittances received BX.TRF.PWKR.CD.DT and paid BM.TRF.PWKR.CD.DT | remittances as share of GDP BX.TRF.PWKR.DT.GD.ZS | GDP per capita, population, urban share, unemployment	Net migration is a five-year residual estimate, not a measurement, and it absorbs every error in the population accounts. | The refugee series SM.POP.REFG has been archived; use UNHCR instead. | Aggregate rows (WLD, EUU, income groups) share the same endpoint as countries and will silently pollute a country-level join. | Latest year coverage thins out for poorer countries, so a 'latest available' join creates a rich-country sample without warning.	https://data.worldbank.org/	fetched 2026-09-16: 2024 values returned for 243-260 countries across population, net migration, migrant stock, remittances and GDP per capita; SM.POP.REFG returns 'indicator not found'.
ilostat	ILOSTAT labour migration statistics	money	International Labour Organization	country x year x sex x status, migrant worker counts and shares	~130 countries with labour force surveys	Mostly 2010 onward	Annual, with periodic global estimates	Open bulk download and an API	CSV, SDMX	Yes	CC BY	Node attributes	international migrant workers by sex and sector | share of migrants in the labour force | informality rate among migrant workers | unemployment rate of migrants vs nationals | domestic workers who are migrants	Labour force surveys miss people in collective housing, undocumented workers and very recent arrivals. Those are large migrant groups. | Gulf states, which host the largest migrant labour shares, have thin or absent survey series. | Global estimates are modelled from a partial country set.	https://ilostat.ilo.org/topics/labour-migration/	not fetched
ipums-i	IPUMS International	micro	Minnesota Population Center	individual census record, harmonised	100+ countries, 500+ censuses, over a billion records	1960 onward, some earlier	New samples added continuously	Free registration and a project description; extracts by request	Custom extract: CSV, Stata, SPSS, fixed-width	Yes, extract API	Free for research; redistribution prohibited	Not a network in itself, but birthplace x residence at individual level rebuilds the bilateral stock matrix with any covariate you want on the edge.	country of birth | year of immigration | citizenship | internal migration: previous residence one and five years ago | education, occupation, income, household structure, language	Registration and an approved research purpose. Not a drop-in download. | Harmonisation loses country-specific detail; the harmonised birthplace variable groups small origins into regional categories. | Census rounds are ten years apart in most countries. | Some countries release only small samples, and a few release nothing recent. | Undocumented populations are under-enumerated in every census.	https://international.ipums.org/international/	not fetched
ipums-usa	IPUMS USA, CPS and ACS	micro	Minnesota Population Center	individual record, US	United States	1850 onward for censuses; ACS from 2000; CPS from 1962	Annual	Free registration, extract system	CSV, Stata, SPSS	Yes	Free for research	Origin -> US edges with full individual covariates	birthplace at detailed country level | year of immigration | citizenship status | ancestry | language spoken at home | wages, occupation, industry, education | state and PUMA of residence	One destination. | ACS is a 1% sample; small origin groups have wide standard errors and the design effect is easy to forget. | Legal status is not asked. Imputation of undocumented status is an assumption-heavy literature.	https://usa.ipums.org/usa/	not fetched
ess	European Social Survey	micro	ESS ERIC	individual respondent, repeated cross-section	~30 European countries	2002 onward, biennial rounds	Every two years	Free download after registration	CSV, Stata, SPSS	No	Free for non-commercial use	Node attributes aggregated to country, or individual-level analysis	allow more or fewer immigrants of same race, different race, poorer countries outside Europe | immigration good or bad for the economy, cultural life, place to live | respondent's own and parents' country of birth | contact with people of a different race | trust, political orientation, religiosity	Europe only. | The three headline immigration items are the same wording since 2002, which is a strength for trends and a weakness for anything recent. | Response rates have fallen and vary sharply across countries. | Migrants themselves are undersampled; surveys in the national language exclude recent arrivals.	https://www.europeansocialsurvey.org/	not fetched
gallup-wp	Gallup World Poll migration module	micro	Gallup	individual respondent, ~1000 per country per year	~150 countries	2005 onward, annual	Annual	Commercial licence; derived indices published free	Proprietary; institutional subscription	Commercial	Proprietary	Desire-to-move gives an intended origin -> destination network, which is rare and valuable: intentions before selection.	desire to migrate permanently | planning to move in the next 12 months | preferred destination country | Potential Net Migration Index | life evaluation, employment, social capital	Expensive. The microdata is behind an institutional subscription. | Intentions are not behaviour. The gap between wanting to move and moving is roughly an order of magnitude. | 1000 respondents per country makes destination-level breakdowns thin. | Sampling in conflict-affected countries is partial or suspended.	https://www.gallup.com/analytics/318875/global-research.aspx	not fetched
mafe	MAFE, Migrations between Africa and Europe	micro	INED and partners	individual life history, origin and destination samples	Senegal, DR Congo, Ghana; France, Italy, Spain, UK, Belgium, Netherlands	Fieldwork 2008-2010, retrospective histories back decades	Static	Free after registration	Stata, CSV	No	Academic use	Individual migration trajectories, plus transnational family networks. Gives multi-step migration paths, which almost nothing else does.	year-by-year residence, activity, housing and family histories | return and circular migration | remittances and investments back home | documentation status over time | network contacts at destination before departure	Three origin countries. Not generalisable. | Fieldwork is now fifteen years old. | Retrospective recall over decades, with the usual telescoping errors. | Sampling migrants at destination and non-migrants at origin makes the weighting delicate.	https://mafeproject.site.ined.fr/en/	not fetched
dhs-lsms	DHS and LSMS household surveys	micro	USAID / ICF; World Bank	household and individual records	90+ low and middle income countries	1984 onward (DHS); 1985 onward (LSMS)	Country rounds every few years	Free after a registered project request	Stata, SPSS, CSV	DHS has an API for indicators	Free for research	Household rosters with absent members give an origin-household -> destination network, including internal migration.	absent household members and where they went | remittances received by the household | migration history of the respondent | internal vs international split | health, fertility and consumption outcomes	Whole-household migration is invisible: if everyone left, nobody is home to be surveyed. This biases the sample toward split households. | Migration modules are not standard across rounds or countries. | Destination is often recorded only as 'abroad'.	https://dhsprogram.com/	not fetched
meta-sci	Meta Social Connectedness Index	digital	Meta / Humanitarian Data Exchange	region pair, relative friendship link intensity	Global at country level; subnational for many countries	Snapshots from 2018 onward	Occasional refreshes	Open download via HDX	TSV	No	Free with attribution, some use restrictions	Weighted undirected social network between places. Correlates strongly with migration corridors and is available where migration data is not.	scaled probability that two users in regions i and j are friends	Facebook users, not people. Penetration varies by country, age and gender, and the index is scaled in a way that hides the denominator. | Friendship is not migration. Diaspora, tourism, colonial history and language all load onto it. | Undirected, so it cannot tell origin from destination. | Snapshot timing is not always documented.	https://data.humdata.org/dataset/social-connectedness-index	not fetched
linkedin-d4d	LinkedIn Data for Development migration indicators	digital	World Bank and LinkedIn	origin country x destination country x industry x skill, relative flow	~100 countries with sufficient LinkedIn penetration	2015 onward, quarterly	Quarterly	Open via the World Bank Data Catalog	CSV	No	CC BY	Weighted directed network of professional relocation, by skill and industry. The only near-real-time high-skill migration network.	migration rate per 10,000 members | by industry and by skill group | talent migration direction	LinkedIn members: white-collar, urban, English-literate. It measures a narrow slice and calls it talent. | Penetration differs by an order of magnitude across countries, so cross-country levels are not comparable, only within-country trends. | Location changes are self-reported and can lag or be aspirational. | No coverage of China and several large markets.	https://datacatalog.worldbank.org/search/dataset/0038044	not fetched
